season,child,adults,older.adults,overall,sev1,sev2
2003-04,Very High,Moderate,High,High,High,HiMod
2004-05,Low,Moderate,Moderate,Moderate,Moderate,HiMod
2005-06,Low,Low,Low,Low,Low,Low
2006-07,Low,Low,Low,Low,Low,Low
2007-08,Moderate,Moderate,Moderate,Moderate,Moderate,HiMod
2008-09,Low,Low,Low,Low,Low,Low
2009-10,Very High,Moderate,Low,Moderate,Moderate,HiMod
2010-11,Moderate,Moderate,Moderate,Moderate,Moderate,HiMod
2011-12,Low,Low,Low,Low,Low,Low
2012-13,Moderate,Moderate,High,Moderate,Moderate,HiMod
2013-14,Moderate,Moderate,Moderate,Moderate,Moderate,HiMod
2014-15,Moderate,Moderate,High,High,High,HiMod
2015-16,Low,Moderate,Low,Moderate,Moderate,HiMod
2016-17,Moderate,Moderate,Moderate,Moderate,Moderate,HiMod
2017-18,High,High,High,High,High,HiMod
