Week,Mean,SD,Median,Minimum,Maximum
01,2.69401005154099,0.0701961000955418,2.66550489924841,2.60553603227124,2.8724982918864
02,3.00777789752053,2.30628982390631,2.70731180874339,2.63129258912853,22.7301784784105
03,3.29898159258573,3.03795595289057,2.66115980973815,2.52751499264501,22.0205684744481
04,3.13272201746228,1.57426697103802,2.70503376581396,2.59827901002611,15.9603758563942
05,3.26449690665024,1.91701082596776,2.79057073814962,2.40951380488149,16.0200234257257
06,3.29704153716269,1.16614721593263,2.98492812244433,2.36333620179587,8.85649126802284
07,3.36440455906351,2.08025990043561,3.14534004768333,2.50676410166241,20.4304025691266
08,2.87304982976047,1.07821047360179,2.66897385561805,2.47244414092717,11.7622351261205
09,2.80942931281642,0.422254112458393,2.65966672552526,2.51599216789719,5.28052939171909
10,2.92568215832488,1.76381136512762,2.36565632228857,2.09839335618475,11.5367513496408
11,2.5369768615118,1.01560838450869,2.34100484346502,1.8063129674667,10.7745680762745
12,2.49798032744094,0.523595004885036,2.26791443156,2.13467725625587,6.17553246487362
13,2.6082046204124,1.22527403157806,2.17778966520874,1.84660702024265,8.19451019770558
14,2.62265732727403,0.874263596479744,2.57168359502107,2.04063332643949,7.71186192347881
15,2.6603979652115,1.01658891394963,2.54065832028012,1.99092707043129,8.37873693839573
16,2.23645989877283,0.578497244458692,2.17226517114987,1.71140623591352,5.52934393007531
17,2.03495809475985,0.621495257906569,1.89093205920665,1.55128602777378,5.99922750527066
18,1.82093586641917,0.555319856491928,1.86861845682241,1.29237454178893,5.0707502860098
19,2.07352953489274,0.754115223093189,2.07205723341768,1.40330521724679,6.78269678029368
20,1.57675449382173,0.706394253794815,1.54130702586874,0.96599207359326,6.21780530440418
21,1.55880861315712,0.846856350370679,1.66106642684974,0.774374158636306,6.53839611166607
22,1.18118462165765,0.773314114095215,1.25117337952577,0.42756995057126,5.27250061643114
23,1.41163637631162,0.839598217588918,1.81641625808909,0.439950884075617,4.03489081780279
24,1.3967539882012,1.00943982350149,1.65907567627083,0.338825086637899,5.94122099321283
25,1.55592006965058,1.26231555771096,1.73756540062125,0.359546434778373,8.00816955779809
26,1.3703471556994,0.916515233108316,1.55256036950239,0.394648943551248,5.37282830053429
27,1.50909496346183,0.947255811785453,1.7776204775457,0.495941787046755,5.72346253934329
28,1.58141185385239,1.00832184208128,1.71709114065749,0.503783119755928,5.89838057234072
29,1.52273857381391,0.969475415397032,1.53287266085664,0.490838134421902,5.34494235041176
30,1.47097803087445,0.965772079205159,1.6547186729711,0.494174553833144,6.42663997372837
